Kibaale,39.31,45.96,102.42,144,115.53,63.72,66.32,101.63,129.92,175.16,150.27,50.8
Kasese,60.49,59.01,109.15,122.29,95.52,64.04,49.83,90.56,121.04,151.82,130.08,77.5
Tororo,70.02,63.67,131.91,210.46,212,121.14,96.99,137.12,137.15,196.61,131.79,89.17
Bukomansimbi,71.08,73.44,151.36,186.31,203.62,74.89,43.23,60.27,111.08,144.73,148.76,107.98
Kalangala,97.33,79.54,148.54,201.77,162.53,83.53,46.68,70.04,120.9,150.21,151.76,112.39
Bukwo,31.62,39.18,77.09,144.09,147.85,100.79,166.31,197.03,104.37,147.92,71.58,39.38
Bulambuli,37.62,41.87,94.12,157.13,167.98,105.51,127.65,157.92,117.22,156.57,79.02,46.75
Kabale,89.65,79.49,124.03,127.7,101.59,40.03,30.23,61.44,108.81,136.26,134.74,105.53
Buliisa,23.66,29.59,80.15,132.71,114.65,91.63,106.15,135.53,140.52,165.76,132.09,37.51
Jinja,82.07,68.82,146.73,209.21,162.55,94.39,73.82,98.03,135.3,194.46,152.1,100.11
Arua,13.16,24.54,66.82,119.7,115.28,121.2,147.36,164.7,154.47,189.52,108.91,31.55
Bundibugyo,58.58,54.43,109.12,135.01,111.04,73.42,63.07,107.37,130.41,171.98,135.38,65.43
Bushenyi,64.22,60.82,114.62,116.13,87.91,51.66,33.52,76.79,118,142.97,136.79,88.05
Buyende,53.31,53.72,128.25,190.73,169.06,99.93,90.38,139.18,149.33,202.04,135,64.95
Butambala,69.23,68.78,144.53,178.46,173.86,82.04,54.93,82.04,113.93,155.22,156.38,100.99
Iganga,74.8,63.83,137.94,206.13,173.01,100.84,76.37,108.96,132.9,192.19,143.5,95.09
Kalungu,69.86,72.64,149.86,183.93,199.07,74.08,43.74,61.88,111.59,145.61,149.03,106.1
Rukungiri,67.87,61.99,100.5,102.06,87.81,52.97,41.95,75.87,106.46,124.64,116.79,84.36
Kamuli,69.63,61.58,137.81,199.87,162.71,95.13,81.06,115.73,143.46,200.54,145.68,82.22
Kapchorwa,40.26,44.15,95.49,161.55,172.76,107.6,128.54,159.2,118.35,158.46,80.1,48.18
Koboko,10.23,22.9,64.16,122.34,131.89,138.4,169.12,173.56,153.01,196.47,96.98,27.76
Sheema,65.97,60.81,112.3,111.3,81.24,43.35,29.69,71.55,116.38,136.32,132.57,88.03
Kitgum,15.47,19.37,55.21,123.85,136.41,125.48,158.45,170.69,106.73,115.19,65.98,23.86
Kole,22.47,36,87.72,158.9,177.08,122.86,135.96,181.9,164.14,192.52,110.26,47.48
Kyankwanzi,41.48,48.74,111.06,157.1,124.99,71.04,73.15,112.89,141.86,179.95,153.75,55.72
